id,transactiontime,completiontime,transferFloor,unitPrice,priceWithoutParking,roomNumber,hallNumber,bathNumber,buildingTransferArea,parkingSpacePrice,parkingSpaceTransferArea,price,landAmount,buildingAmount,parkAmount,buildingType,floor,urbanLandUse,buildingArea,subBuildingArea,belconyArea,landTransferArea,parkingSpaceType,longitude,latitude,yhat-hnn,y_x,yhat-mlp,y_y,address
RPSQMLRJRHNFFAH86DA,2018/7/1 00:00:00,1999/4/2 00:00:00,17,50419,5529956,3,2,2,145,1000000,35,6529956,2,1,1,0,20,0,75,0,10,19,2,121.279697773425,24.98583738907656,48407.66540874656,50419.00073326575,48334.93559365587,50419.00073326575,桃園市桃園區龍鳳三街６５巷３８號１７樓
RPPNMLMJIINFFAH47CA,2018/8/22 00:00:00,1999/2/23 00:00:00,12,49014,4499975,2,2,2,92,0,0,4499975,1,1,0,0,12,0,60,0,9,16,0,121.2782661930554,24.987943673465924,52831.61339181174,49013.99957612404,51335.45686556694,49013.99957612404,桃園市桃園區國豐六街２５號十二樓之２
RPRNMLKKIINFFAH67DA,2018/8/29 00:00:00,1994/3/3 00:00:00,6,44416,4879986,3,2,2,110,0,0,4879986,1,1,0,4,6,0,79,1,8,22,0,121.27767290005364,24.98841425473621,43895.601724209584,44415.99990870051,49090.67599122557,44415.99990870051,桃園市桃園區國豐七街２６號６樓
RPWPMLPJJINFFAH78CA,2018/9/21 00:00:00,1999/4/2 00:00:00,8,47864,5299981,3,2,2,111,0,0,5299981,2,1,0,0,20,2,76,0,10,19,0,121.27921441658056,24.986732101358484,50304.812940260534,47864.000846459414,49712.62056370062,47864.000846459414,桃園市桃園區龍鳳三街６５巷４２號八樓
RPQPMLMLKINFFAH18CA,2018/11/2 00:00:00,1999/2/23 00:00:00,7,53112,4999964,3,2,2,94,0,0,4999964,1,1,0,0,12,0,62,0,9,17,0,121.2782661930554,24.987943673465924,50512.81220114663,53112.000683293045,52017.74729367239,53112.000683293045,桃園市桃園區國豐六街２５號七樓之４
RPQPMLRJJHOFFAH38CA,2018/12/5 00:00:00,1996/1/6 00:00:00,5,43960,2299987,2,2,1,52,0,0,2299987,1,1,0,0,12,0,34,2,5,6,0,121.28214804702776,24.987403693021804,57378.66560328918,43959.999699796484,58313.503002034355,43959.999699796484,桃園市桃園區龍安街１２號五樓之３
RPQPMLTLNHKFFAH78CA,2015/5/20 00:00:00,2014/8/25 00:00:00,3,84073,9000015,2,2,2,107,0,0,9000015,1,1,0,4,7,1,64,0,8,19,0,121.31433795904177,24.981985392389554,86218.15577295158,84072.99882101527,78360.94614000956,84072.99882101527,桃園市桃園區金門三街７號三樓
RPSPMLKKOHKFFAH08CA,2015/5/20 00:00:00,2014/8/25 00:00:00,5,79402,8499984,2,2,2,107,0,0,8499984,1,1,0,0,7,1,64,0,8,19,0,121.314308128451,24.98194031380256,79784.70674091869,79402.00053221617,78473.20742378816,79402.00053221617,桃園市桃園區金門三街７號五樓
RPURMLTLOHKFFAH86CA,2015/6/22 00:00:00,2014/8/25 00:00:00,5,81091,8980017,2,2,2,111,0,0,8980017,1,1,0,0,7,1,68,0,6,20,0,121.314308128451,24.98194031380256,81235.47698192942,81091.00053576715,77359.3635245508,81091.00053576715,桃園市桃園區金門三街9號五樓
RPPNMLRJIIKFFAH87EA,2015/7/27 00:00:00,2014/8/25 00:00:00,6,84073,9000015,2,2,2,107,0,0,9000015,1,1,0,4,7,1,64,0,8,19,0,121.314308128451,24.98194031380256,86837.69456768778,84072.99882101527,78559.15707805453,84072.99882101527,桃園市桃園區金門三街7號六樓
RPXQMLSKRHKFFAH17CA,2015/8/29 00:00:00,2014/8/25 00:00:00,4,75666,8100045,2,2,2,107,0,0,8100045,1,1,0,4,7,1,64,0,8,19,0,121.314308128451,24.98194031380256,76534.2649437303,75666.00023273648,78602.65998630256,75666.00023273648,桃園市桃園區金門三街7號四樓
RPOPMLRKKHLFFAH08CA,2016/1/8 00:00:00,2003/3/17 00:00:00,12,34583,5449935,4,2,2,158,0,0,5449935,1,2,1,0,13,0,81,2,14,15,2,121.31441550253135,24.98131713315464,60601.67279227371,34583.00053876873,53495.42319527622,34583.00053876873,桃園市桃園區金門二街177號十二樓
RPRTMLLKPHLFFAH68CA,2016/4/21 00:00:00,1989/9/20 00:00:00,5,39439,4499990,4,2,3,114,0,0,4499990,2,1,1,3,5,0,106,0,8,38,2,121.31281598735607,24.979433584586467,47376.66333179981,39438.999554169364,42031.09701894656,39438.999554169364,桃園市桃園區樹仁一街１４０之４號
RPQPMLKLJHMFFAH67CA,2016/12/8 00:00:00,1983/4/27 00:00:00,4,18837,2199973,3,2,2,117,0,0,2199973,1,1,0,3,5,2,108,0,9,29,0,121.31345577093931,24.98174348829629,40923.41871945293,18836.998459956303,49148.484746849,18836.998459956303,桃園市桃園區金門二街２５８號四樓２２室
RPWOMLKLLHMFFAH48DA,2016/12/31 00:00:00,1987/4/21 00:00:00,5,48904,6690067,6,0,6,137,0,0,6690067,1,1,0,3,5,0,124,0,13,43,0,121.3139741916473,24.983060529798287,45423.43137151141,48904.000039209575,40696.36020721662,48904.000039209575,桃園市桃園區金門四街９之４號
RPTOMLNKMHMFFAH38CA,2017/4/1 00:00:00,2014/8/25 00:00:00,7,74731,7999954,2,2,2,107,0,0,7999954,1,1,0,4,7,1,64,0,8,19,0,121.31433795904177,24.981985392389554,75765.95072782003,74731.00031787062,75653.31781357592,74731.00031787062,桃園市桃園區金門三街7號七樓
RPOOMLNLIIMFFAH67CA,2017/8/24 00:00:00,2003/3/17 00:00:00,5,62643,10099931,4,2,2,161,0,0,10099931,1,1,1,0,13,0,88,2,11,16,2,121.31441550253135,24.98131713315464,63582.6557176215,62643.00004324149,62500.069810881294,62643.00004324149,桃園市桃園區金門二街１７１號五樓
RPRPMLMJLHNFFAH08CA,2018/2/1 00:00:00,2003/3/17 00:00:00,13,60139,8500046,3,2,2,141,0,0,8500046,1,2,1,0,13,0,77,2,8,14,2,121.31441550253135,24.98131713315464,61267.10687119348,60138.99998724477,58531.560932483626,60138.99998724477,桃園市桃園區金門二街１６５號十三樓
RPQOMLNLNHNFFAH48DA,2018/4/11 00:00:00,1993/7/29 00:00:00,5,46202,4999980,3,2,2,108,0,0,4999980,1,1,0,4,7,0,76,1,9,19,0,121.31330609397304,24.98131044418445,48533.41784119613,46202.000085059175,48782.21384734467,46202.000085059175,桃園市桃園區金門二街251號五樓
RPPPMLMLNHNFFAH28CA,2018/3/12 00:00:00,1991/8/14 00:00:00,7,41600,6500000,3,2,2,156,0,0,6500000,2,1,0,4,7,0,131,0,14,29,0,121.313305567853,24.981102793976333,47930.42642246172,41599.99990232411,51265.58071032018,41599.99990232411,桃園市桃園區樹林四街１００號七樓
RPUOMLOKOHNFFAH88CA,2018/5/23 00:00:00,2014/8/25 00:00:00,2,82205,8800045,2,2,2,107,0,0,8800045,1,1,0,4,7,1,64,0,8,19,0,121.314308128451,24.98194031380256,82732.2003890501,82205.00040426722,76657.03200895856,82205.00040426722,桃園市桃園區金門三街7號二樓
RPTPMLNLIINFFAH48DA,2018/10/5 00:00:00,2012/10/2 00:00:00,5,68074,15799975,4,2,2,232,0,0,15799975,2,1,0,4,5,0,132,0,20,62,0,121.31356346967311,24.98124670398265,82536.10350845628,68074.00015646625,70889.53418060095,68074.00015646625,桃園市桃園區金門二街195號5樓
RPVOMLQLJINFFAH88CA,2018/11/2 00:00:00,2003/3/17 00:00:00,8,67071,11599929,4,2,2,173,0,0,11599929,1,2,1,0,13,0,93,2,14,17,2,121.31441550253135,24.98131713315464,68004.66238400785,67071.00014626318,57026.412874520116,67071.00014626318,桃園市桃園區金門二街１７７號
RPSOMLLLMHKFFAH97CA,2015/3/27 00:00:00,1981/9/17 00:00:00,2,56092,5000041,4,0,4,89,0,0,5000041,2,1,0,3,5,0,75,0,14,32,0,121.31940849763205,24.989269471501753,57519.19525688594,56092.00005876791,54158.54942974974,56092.00005876791,桃園市桃園區林森路７１巷１弄２０之１號
RPTPMLLKJIKFFAH87CA,2015/9/14 00:00:00,1980/8/11 00:00:00,4,40161,3500031,2,1,1,87,0,0,3500031,1,1,0,3,5,0,81,0,0,23,0,121.31979536342072,24.98947629162848,36072.5204766073,40160.99860123645,44431.68541010976,40160.99860123645,桃園市桃園區林森路71巷3弄14之3號
RPSOMLOKJHLFFAH18EA,2015/12/22 00:00:00,1981/1/20 00:00:00,5,23652,2500016,3,1,2,106,0,0,2500016,2,1,0,3,5,0,106,0,0,29,0,121.31945555375285,24.98831237011675,34647.051915994016,23651.99681472509,34855.86587558454,23651.99681472509,桃園市桃園區林森路１４之４號
RPQOMLNLKHLFFAH87CA,2016/1/13 00:00:00,1981/1/20 00:00:00,5,36153,2999976,3,1,1,83,0,0,2999976,2,1,0,3,5,2,83,0,0,24,0,121.31945555375285,24.98831237011675,33178.10066537046,36153.00061617284,38948.20086975982,36153.00061617284,桃園市桃園區林森路６巷１之４號
RPVVMLRJOHLFFAH07CA,2016/5/15 00:00:00,1992/12/30 00:00:00,11,49887,6957241,3,2,2,172,0,33,6957241,1,1,1,0,12,0,117,2,12,32,2,121.3195386041268,24.9897838055384,52183.32118210578,49886.99978351068,51053.39049757829,49886.99978351068,桃園市桃園區紹興街28巷5號11樓
RPOOMLLKIILFFAH27CA,2016/9/6 00:00:00,1981/9/17 00:00:00,2,17309,1589832,3,1,1,92,0,0,1589832,4,1,0,3,5,0,77,0,15,25,0,121.31921059023948,24.989351150906074,62326.9322797017,17308.998401793353,49257.84808321526,17308.998401793353,桃園市桃園區林森路７１巷１弄２６之１號
RPVQMLPLJILFFAH78CA,2015/1/16 00:00:00,2016/7/13 00:00:00,7,102864,9950035,2,1,1,124,1750000,27,11700035,1,1,1,0,21,1,61,0,4,12,2,121.31714322078636,24.986647078931203,102959.1088852373,102864.00036926543,77301.65682288942,102864.00036926543,桃園市桃園區桃鶯路62號7樓
RPQQMLPLJILFFAH28CA,2016/6/4 00:00:00,2016/7/13 00:00:00,4,74505,7300000,2,1,1,123,1700000,25,9000000,1,1,1,0,21,1,62,2,3,12,2,121.31714322078636,24.986647078931203,74082.59180515888,74505.00085618367,75576.33446636972,74505.00085618367,桃園市桃園區桃鶯路62之2號4樓
RPTOMLTLJILFFAH78CA,2016/9/20 00:00:00,2016/7/13 00:00:00,2,80174,11250016,4,2,2,168,2000000,27,13250016,1,1,1,0,21,1,88,0,7,17,2,121.31714322078636,24.986647078931203,80198.50667375041,80174.00024403822,75398.27610495119,80174.00024403822,桃園市桃園區桃鶯路56號二樓
RPRSMLPLJILFFAH58CA,2016/8/29 00:00:00,2016/7/13 00:00:00,5,108333,10529968,2,1,1,123,1450000,25,11979968,1,1,1,0,21,1,61,2,3,12,2,121.31714322078636,24.986647078931203,78018.70529002485,108333.00094919303,76757.89405773315,108333.00094919303,桃園市桃園區桃鶯路50之1號5樓
RPWPMLTLJILFFAH56CA,2016/3/29 00:00:00,2016/7/13 00:00:00,3,85391,8300005,2,1,1,123,1700000,25,10000005,1,1,1,0,21,1,61,2,3,12,2,121.31714322078636,24.986647078931203,79050.82322114133,85390.99878297241,74251.24733813627,85390.99878297241,桃園市桃園區桃鶯路50之1號3樓
RPXOMLKMJILFFAH48DA,2016/10/18 00:00:00,2003/6/23 00:00:00,8,58495,8379994,3,2,2,143,0,0,8379994,1,1,1,4,10,0,75,1,8,19,2,121.31632961733456,24.98612516853364,59195.85520343577,58494.999811754686,54605.62973726313,58494.999811754686,桃園市桃園區建國路５８號８樓
RPQQMLSJKILFFAH48CA,2016/10/26 00:00:00,2016/7/13 00:00:00,4,79218,7699990,2,1,1,97,0,0,7699990,1,1,0,0,21,1,61,2,3,11,0,121.31714322078636,24.986647078931203,83066.74482986062,79217.99916422393,78928.66270304589,79217.99916422393,桃園市桃園區桃鶯路６２之１號四樓
RPXPMLQKKILFFAH98CA,2015/12/16 00:00:00,2016/7/13 00:00:00,7,84979,8220019,2,1,1,124,1900000,27,10120019,1,1,1,0,21,1,61,0,4,12,2,121.31714322078636,24.986647078931203,102959.09925750503,84978.9992360746,77301.65682288942,84978.9992360746,桃園市桃園區桃鶯路50號7樓
RPXNMLQLKILFFAH88CA,2016/11/4 00:00:00,2016/7/13 00:00:00,11,101131,9300007,2,1,1,92,0,0,9300007,1,1,0,0,21,1,58,0,4,11,0,121.31758943903104,24.986826693537648,87405.25901255429,101131.0008590361,84197.54316562,101131.0008590361,桃園市桃園區桃鶯路62之3號11樓
RPXOMLTLKILFFAH66CA,2016/6/14 00:00:00,2016/7/13 00:00:00,6,79194,10379958,3,2,2,159,1800000,27,12179958,1,1,1,0,13,1,79,0,10,16,2,121.31714322078636,24.986647078931203,82471.89539174968,79193.99915322897,78549.41285022719,79193.99915322897,桃園市桃園區南京街2號6樓
RPSNMLTKKILFFAH58CA,2016/10/29 00:00:00,1988/7/8 00:00:00,5,34223,1499994,1,1,1,44,0,0,1499994,1,1,0,5,5,0,42,0,0,10,0,121.31910360679355,24.990118786238288,46016.10205381035,34223.00037384449,39143.45513122562,34223.00037384449,桃園市桃園區紹興街14號五樓之2
RPRRMLNJJHMFFAH18DA,2016/12/3 00:00:00,1991/7/17 00:00:00,6,51311,5500026,2,2,2,107,0,0,5500026,1,1,0,4,6,0,77,2,8,22,0,121.32063696482555,24.98932099945516,37474.3991676202,51310.99992239861,48942.35499901449,51310.99992239861,桃園市桃園區林森路７１巷８弄４號６樓
RPOPMLRKJHMFFAH08CA,2016/12/22 00:00:00,2016/7/25 00:00:00,3,106992,13160016,3,2,2,176,1500000,53,14660016,1,1,1,0,12,0,78,0,7,26,2,121.31731562598245,24.988208608765408,97561.490237883,106992.00033485025,99736.00984768695,106992.00033485025,桃園市桃園區建國里14鄰大林路7號3樓
RPTPMLRKJHMFFAH58CA,2016/12/22 00:00:00,2016/7/25 00:00:00,10,92276,11349948,3,2,2,176,1500000,53,12849948,1,1,1,0,12,0,78,0,7,26,2,121.31731562598245,24.988208608765408,99899.81415892966,92276.00001160204,97400.27193552718,92276.00001160204,桃園市桃園區建國里14鄰大林路7號10樓
RPPPMLRKJHMFFAH18CA,2016/12/22 00:00:00,2016/7/25 00:00:00,5,102846,12650058,3,2,2,176,1700000,53,14350058,1,1,1,0,12,0,78,0,7,26,2,121.31731562598245,24.988208608765408,101523.85662309438,102845.99843547275,100417.14687346682,102845.99843547275,桃園市桃園區建國里14鄰大林路7號5樓
RPROMLNLJHMFFAH97CA,2017/1/1 00:00:00,1988/7/8 00:00:00,4,39927,1750000,1,1,1,44,0,0,1750000,1,1,0,5,5,0,42,0,0,10,0,121.31910360679355,24.990118786238288,41610.692461779734,39927.00041958215,38337.619717124755,39927.00041958215,桃園市桃園區紹興街１４號四樓之２
